,state,year,count,asc,dsc,asc_deflators
248,iowa,2010,256,1.0078740157480315,1.0,1.040650406504065
249,iowa,2011,256,1.0,0.9808429118773946,1.040650406504065
250,iowa,2012,261,1.01953125,0.9923954372623575,1.0609756097560974
251,iowa,2013,263,1.0076628352490422,1.0,1.0691056910569106
252,kansas,2000,388,1.0,0.9509803921568627,1.0
253,kansas,2001,408,1.0515463917525774,0.9855072463768116,1.0515463917525774
254,kansas,2002,414,1.0147058823529411,0.9904306220095693,1.0670103092783505
255,kansas,2003,418,1.0096618357487923,0.9789227166276346,1.077319587628866
256,kansas,2004,427,1.0215311004784688,0.9953379953379954,1.1005154639175256
257,kansas,2005,429,1.0046838407494145,0.9930555555555556,1.1056701030927834
258,kansas,2006,432,1.006993006993007,0.9953917050691244,1.1134020618556701
259,kansas,2007,434,1.0046296296296295,0.9954128440366973,1.1185567010309279
260,kansas,2008,436,1.0046082949308757,0.9931662870159453,1.1237113402061858
261,kansas,2009,439,1.0068807339449541,1.0,1.1314432989690724
262,kansas,2010,439,1.0,0.9977272727272727,1.1314432989690724
263,kansas,2011,440,1.0022779043280183,1.0,1.1340206185567014
264,kansas,2012,440,1.0,0.9977324263038548,1.1340206185567014
265,kansas,2013,441,1.0022727272727272,1.0,1.1365979381443303
266,kentucky,2000,561,1.0,1.0,1.0
267,kentucky,2001,561,1.0,1.0,1.0
268,kentucky,2002,561,1.0,0.998220640569395,1.0
269,kentucky,2003,562,1.0017825311942958,1.0,1.0017825311942958
270,kentucky,2004,562,1.0,0.9623287671232876,1.0017825311942958
271,kentucky,2005,584,1.0391459074733096,0.9965870307167235,1.0409982174688057
272,kentucky,2006,586,1.0034246575342465,0.9865319865319865,1.0445632798573974
273,kentucky,2007,594,1.0136518771331058,0.9933110367892977,1.0588235294117645
274,kentucky,2008,598,1.0067340067340067,0.9477020602218701,1.065953654188948
275,kentucky,2009,631,1.0551839464882944,0.9968404423380727,1.1247771836007128
276,kentucky,2010,633,1.0031695721077654,0.9952830188679245,1.1283422459893044
277,kentucky,2011,636,1.004739336492891,0.9984301412872841,1.1336898395721922
278,kentucky,2012,637,1.001572327044025,0.9984326018808778,1.135472370766488
279,kentucky,2013,638,1.0015698587127158,1.0,1.1372549019607838
280,louisiana,2000,253,1.0,0.9921568627450981,1.0
281,louisiana,2001,255,1.007905138339921,0.9922178988326849,1.007905138339921
282,louisiana,2002,257,1.007843137254902,1.0,1.0158102766798418
283,louisiana,2003,257,1.0,0.9961240310077519,1.0158102766798418
284,louisiana,2004,258,1.0038910505836576,1.0,1.0197628458498023
285,louisiana,2005,258,1.0,1.0,1.0197628458498023
286,louisiana,2006,258,1.0,0.9961389961389961,1.0197628458498023
287,louisiana,2007,259,1.003875968992248,0.9736842105263158,1.0237154150197627
288,louisiana,2008,266,1.027027027027027,0.981549815498155,1.0513833992094859
289,louisiana,2009,271,1.018796992481203,0.9963235294117647,1.0711462450592883
290,louisiana,2010,272,1.003690036900369,0.9784172661870504,1.0750988142292488
