,state,agency
984,california,CA01924
985,california,CA01925
986,california,CA01926
987,california,CA01927
988,california,CA01928
989,california,CA01929
990,california,CA0192H
991,california,CA0192J
992,california,CA0192Q
993,california,CA0192U
994,california,CA01931
995,california,CA01932
996,california,CA01933
997,california,CA01934
998,california,CA01935
999,california,CA01936
1000,california,CA01937
1001,california,CA01938
1002,california,CA01939
1003,california,CA01940
1004,california,CA01941
1005,california,CA01942
1006,california,CA01943
1007,california,CA01944
1008,california,CA01945
1009,california,CA01946
1010,california,CA01947
1011,california,CA01948
1012,california,CA01949
1013,california,CA01950
1014,california,CA01951
1015,california,CA01952
1016,california,CA01953
1017,california,CA01954
1018,california,CA01955
1019,california,CA01956
1020,california,CA01957
1021,california,CA01958
1022,california,CA01959
1023,california,CA01960
1024,california,CA01961
1025,california,CA01962
1026,california,CA01963
1027,california,CA01964
1028,california,CA01965
1029,california,CA01966
1030,california,CA01967
1031,california,CA01968
1032,california,CA01969
1033,california,CA01970
1034,california,CA01971
1035,california,CA01972
1036,california,CA01973
1037,california,CA01974
1038,california,CA01975
1039,california,CA01976
1040,california,CA01977
1041,california,CA01978
1042,california,CA01980
1043,california,CA01981
1044,california,CA01982
1045,california,CA01983
1046,california,CA01984
1047,california,CA01990
1048,california,CA01996
1049,california,CA01997
1050,california,CA01999
1051,california,CA02000
1052,california,CA02001
1053,california,CA02002
1054,california,CA02099
1055,california,CA02100
1056,california,CA02103
1057,california,CA02104
1058,california,CA02105
1059,california,CA02106
1060,california,CA02107
1061,california,CA02108
1062,california,CA02109
1063,california,CA02110
1064,california,CA02111
1065,california,CA02114
1066,california,CA02116
1067,california,CA02199
1068,california,CA02200
1069,california,CA02299
1070,california,CA02300
1071,california,CA02301
1072,california,CA02303
1073,california,CA02304
1074,california,CA02399
1075,california,CA02400
1076,california,CA02401
1077,california,CA02402
1078,california,CA02403
1079,california,CA02404
1080,california,CA02405
1081,california,CA02406
1082,california,CA02499
1083,california,CA02500
1084,california,CA02501
1085,california,CA02599
1086,california,CA02600
1087,california,CA02601
1088,california,CA02699
1089,california,CA02700
